Index	||	Polarization	||	Clock		||	Lambda				||	Neighbours		||	Ek
    0	||	8.4019		||	0.394383	||	0.783099 0.798440 0.911647	||	0032 0082 0021 0066 	||	8.289574 6.756540 9.041700 1.911116 
    1	||	1.9755		||	0.335223	||	0.768230 0.277775 0.553970	||	0063 0060 0082 0011 	||	3.945213 7.060667 8.689240 5.473971 
    2	||	4.7740		||	0.628871	||	0.364784 0.513401 0.952230	||	0085 0086 0085 0030 	||	7.389594 9.324846 2.331189 9.265758 
    3	||	9.1620		||	0.635712	||	0.717297 0.141603 0.606969	||	0090 0083 0014 0076 	||	5.514429 9.334200 4.944069 5.525684 
    4	||	0.1630		||	0.242887	||	0.137232 0.804177 0.156679	||	0016 0020 0092 0025 	||	9.391292 7.996457 8.141387 5.944973 
    5	||	4.0094		||	0.129790	||	0.108809 0.998924 0.218257	||	0028 0039 0025 0090 	||	6.572009 9.952999 9.358518 3.245414 
    6	||	5.1293		||	0.839112	||	0.612640 0.296032 0.637552	||	0036 0060 0018 0043 	||	8.743093 5.891567 6.377709 7.593236 
    7	||	5.2429		||	0.493583	||	0.972775 0.292517 0.771358	||	0037 0028 0082 0021 	||	7.754214 7.949101 2.627846 6.043787 
    8	||	5.2674		||	0.769914	||	0.400229 0.891529 0.283315	||	0010 0055 0088 0025 	||	4.705642 1.669546 7.954904 8.650855 
    9	||	3.5246		||	0.807725	||	0.919026 0.069755 0.949327	||	0015 0070 0037 0053 	||	8.730213 6.644144 4.124826 6.119807 
   10	||	5.2600		||	0.086056	||	0.192214 0.663227 0.890233	||	0008 0022 0083 0050 	||	5.968990 6.456015 5.385565 1.483419 
   11	||	3.4889		||	0.064171	||	0.020023 0.457702 0.063096	||	0057 0097 0027 0026 	||	5.790215 0.329634 7.009103 5.181507 
   12	||	2.3828		||	0.970634	||	0.902208 0.850920 0.266666	||	0069 0071 0051 0049 	||	8.326091 5.150491 1.126479 4.898100 
   13	||	5.3976		||	0.375207	||	0.760249 0.512535 0.667724	||	0010 0028 0039 0098 	||	5.103490 0.484997 8.143515 3.846584 
   14	||	5.3161		||	0.039280	||	0.437638 0.931835 0.930810	||	0088 0010 0093 0077 	||	6.376564 4.521224 1.439820 4.130778 
   15	||	7.2095		||	0.284293	||	0.738534 0.639979 0.354049	||	0090 0076 0099 0052 	||	2.470325 4.067666 0.174566 7.175968 
   16	||	6.8786		||	0.165974	||	0.440105 0.880075 0.829201	||	0031 0087 0077 0099 	||	5.737212 8.129471 5.826822 4.467425 
   17	||	3.3034		||	0.228968	||	0.893372 0.350360 0.686670	||	0057 0066 0052 0017 	||	4.773614 9.951649 0.587232 0.742604 
   18	||	9.5647		||	0.588640	||	0.657304 0.858676 0.439560	||	0041 0035 0068 0098 	||	6.407663 5.972798 2.226024 2.197878 
   19	||	9.2397		||	0.398437	||	0.814767 0.684219 0.910972	||	0084 0095 0076 0005 	||	6.302432 9.235126 7.379385 4.628522 
   20	||	4.8249		||	0.215825	||	0.950252 0.920128 0.147660	||	0066 0028 0054 0028 	||	4.385618 8.505865 9.526623 9.489108 
   21	||	8.8106		||	0.641081	||	0.431953 0.619596 0.281059	||	0008 0093 0078 0097 	||	8.990861 7.670136 3.335692 5.367425 
   22	||	7.8600		||	0.307458	||	0.447034 0.226107 0.187533	||	0055 0072 0074 0045 	||	2.191360 4.775512 9.498203 4.661686 
