Running 1 simulations with a radial tolerance of 0.001000
Running simulation 0
j:0 output polarization: 0.000000e+00
j:0 output polarization: 0.000000e+00
j:0 output polarization: 1.461195e-05
j:0 output polarization: -3.101748e-04
j:0 output polarization: -2.487318e-03
j:0 output polarization: -4.532474e-03
j:1 output polarization: -4.944071e-03
j:2 output polarization: -5.013432e-03
j:3 output polarization: -5.024701e-03
j:4 output polarization: -5.026516e-03
j:5 output polarization: -5.026808e-03
j:6 output polarization: -5.026855e-03
j:7 output polarization: -5.026862e-03
j:8 output polarization: -5.026864e-03
j:9 output polarization: -5.026864e-03
j:10 output polarization: -5.026864e-03
j:11 output polarization: -5.026864e-03
j:12 output polarization: -5.026864e-03
j:13 output polarization: -5.026864e-03
j:14 output polarization: -5.026864e-03
j:15 output polarization: -5.026864e-03
j:16 output polarization: -5.026864e-03
j:17 output polarization: -5.026864e-03
j:18 output polarization: -5.026864e-03
j:19 output polarization: -5.026864e-03
j:20 output polarization: -5.026864e-03
j:21 output polarization: -5.026864e-03
j:22 output polarization: -5.026864e-03
j:23 output polarization: -5.026864e-03
j:24 output polarization: -5.026864e-03
j:25 output polarization: -5.026864e-03
j:26 output polarization: -5.026864e-03
j:27 output polarization: -5.026864e-03
j:28 output polarization: -5.026864e-03
j:29 output polarization: -5.026864e-03
j:30 output polarization: -5.026864e-03
j:31 output polarization: -5.026864e-03
j:32 output polarization: -5.026864e-03
j:33 output polarization: -5.026864e-03
j:34 output polarization: -5.026864e-03
j:35 output polarization: -5.026864e-03
j:36 output polarization: -5.026864e-03
j:37 output polarization: -5.026864e-03
j:38 output polarization: -5.026864e-03
j:39 output polarization: -5.026864e-03
j:40 output polarization: -5.026864e-03
j:41 output polarization: -5.026864e-03
j:42 output polarization: -5.026864e-03
j:43 output polarization: -5.026864e-03
j:44 output polarization: -5.026864e-03
j:45 output polarization: -5.026864e-03
j:46 output polarization: -5.026864e-03
j:47 output polarization: -5.026864e-03
j:48 output polarization: -5.026864e-03
j:49 output polarization: -5.026864e-03
j:50 output polarization: -5.026864e-03
j:51 output polarization: -5.026864e-03
j:52 output polarization: -5.026864e-03
j:53 output polarization: -5.026864e-03
j:54 output polarization: -5.026864e-03
j:55 output polarization: -5.026864e-03
j:56 output polarization: -5.026864e-03
j:57 output polarization: -5.026864e-03
j:58 output polarization: -5.026864e-03
j:59 output polarization: -5.026864e-03
j:60 output polarization: -5.026864e-03
j:61 output polarization: -5.026864e-03
j:62 output polarization: -5.026864e-03
j:63 output polarization: -5.026864e-03
j:64 output polarization: -5.026864e-03
j:65 output polarization: -5.026864e-03
j:66 output polarization: -5.026864e-03
j:67 output polarization: -5.026864e-03
j:68 output polarization: -5.026864e-03
j:69 output polarization: -5.026864e-03
j:70 output polarization: -5.026864e-03
j:71 output polarization: -5.026864e-03
j:72 output polarization: -5.026864e-03
j:73 output polarization: -5.026864e-03
j:74 output polarization: -5.026864e-03
j:75 output polarization: -5.026864e-03
j:76 output polarization: -5.026864e-03
j:77 output polarization: -5.026864e-03
j:78 output polarization: -5.026864e-03
j:79 output polarization: -5.026864e-03
j:80 output polarization: -5.026864e-03
j:81 output polarization: -5.026864e-03
j:82 output polarization: -5.026864e-03
j:83 output polarization: -5.026864e-03
j:84 output polarization: -5.026864e-03
j:85 output polarization: -5.026864e-03
j:86 output polarization: -5.026864e-03
j:87 output polarization: -5.026864e-03
j:88 output polarization: -5.026864e-03
j:89 output polarization: -5.026864e-03
j:90 output polarization: -5.026864e-03
j:91 output polarization: -5.026864e-03
j:92 output polarization: -5.026864e-03
j:93 output polarization: -5.026864e-03
j:94 output polarization: -5.026864e-03
j:95 output polarization: -5.026864e-03
j:96 output polarization: -5.026864e-03
j:97 output polarization: -5.026864e-03
j:98 output polarization: -5.026864e-03
j:99 output polarization: -5.026864e-03
j:100 output polarization: -5.026864e-03
j:101 output polarization: -5.026864e-03
j:102 output polarization: -5.026864e-03
j:103 output polarization: -5.026864e-03
j:104 output polarization: -5.026864e-03
j:105 output polarization: -5.026864e-03
j:106 output polarization: -5.026864e-03
j:107 output polarization: -5.026864e-03
j:108 output polarization: -5.026864e-03
j:109 output polarization: -5.026864e-03
j:110 output polarization: -5.026864e-03
j:111 output polarization: -5.026864e-03
j:112 output polarization: -5.026864e-03
j:113 output polarization: -5.026864e-03
j:114 output polarization: -5.026864e-03
j:115 output polarization: -5.026864e-03
j:116 output polarization: -5.026864e-03
j:117 output polarization: -5.026864e-03
j:118 output polarization: -5.026864e-03
j:119 output polarization: -5.026864e-03
j:120 output polarization: -5.026864e-03
j:121 output polarization: -5.026864e-03
j:122 output polarization: -5.026864e-03
j:123 output polarization: -5.026864e-03
j:124 output polarization: -5.026864e-03
j:125 output polarization: -5.026864e-03
j:126 output polarization: -5.026864e-03
j:127 output polarization: -5.026864e-03
j:128 output polarization: -5.026864e-03
j:129 output polarization: -5.026864e-03
j:130 output polarization: -5.026864e-03
j:131 output polarization: -5.026864e-03
j:132 output polarization: -5.026864e-03
j:133 output polarization: -5.026864e-03
j:134 output polarization: -5.026864e-03
j:135 output polarization: -5.026864e-03
j:136 output polarization: -5.026864e-03
j:137 output polarization: -5.026864e-03
j:138 output polarization: -5.026864e-03
j:139 output polarization: -5.026864e-03
j:140 output polarization: -5.026864e-03
j:141 output polarization: -5.026864e-03
j:142 output polarization: -5.026864e-03
j:143 output polarization: -5.026864e-03
j:144 output polarization: -5.026864e-03
j:145 output polarization: -5.026864e-03
j:146 output polarization: -5.026864e-03
j:147 output polarization: -5.026864e-03
j:148 output polarization: -5.026864e-03
j:149 output polarization: -5.026864e-03
j:150 output polarization: -5.026864e-03
j:151 output polarization: -5.026864e-03
j:152 output polarization: -5.026864e-03
j:153 output polarization: -5.026864e-03
j:154 output polarization: -5.026864e-03
j:155 output polarization: -5.026864e-03
j:156 output polarization: -5.026864e-03
j:157 output polarization: -5.026864e-03
j:158 output polarization: -5.026864e-03
j:159 output polarization: -5.026864e-03
j:160 output polarization: -5.026864e-03
j:161 output polarization: -5.026864e-03
j:162 output polarization: -5.026864e-03
j:163 output polarization: -5.026864e-03
j:164 output polarization: -5.026864e-03
j:165 output polarization: -5.026864e-03
j:166 output polarization: -5.026864e-03
j:167 output polarization: -5.026864e-03
j:168 output polarization: -5.026864e-03
j:169 output polarization: -5.026864e-03
j:170 output polarization: -5.026864e-03
j:171 output polarization: -5.026864e-03
j:172 output polarization: -5.026864e-03
j:173 output polarization: -5.026864e-03
j:174 output polarization: -5.026864e-03
j:175 output polarization: -5.026864e-03
j:176 output polarization: -5.026864e-03
j:177 output polarization: -5.026864e-03
j:178 output polarization: -5.026864e-03
j:179 output polarization: -5.026864e-03
j:180 output polarization: -5.026864e-03
j:181 output polarization: -5.026864e-03
j:182 output polarization: -5.026864e-03
j:183 output polarization: -5.026864e-03
j:184 output polarization: -5.026864e-03
j:185 output polarization: -5.026864e-03
j:186 output polarization: -5.026864e-03
j:187 output polarization: -5.026864e-03
j:188 output polarization: -5.026864e-03
j:189 output polarization: -5.026864e-03
j:190 output polarization: -5.026864e-03
j:191 output polarization: -5.026864e-03
j:192 output polarization: -5.026864e-03
j:193 output polarization: -5.026864e-03
j:194 output polarization: -5.026864e-03
j:195 output polarization: -5.026864e-03
j:196 output polarization: -5.026864e-03
j:197 output polarization: -5.026864e-03
j:198 output polarization: -5.026864e-03
j:199 output polarization: -5.026864e-03
j:200 output polarization: -5.026864e-03
j:201 output polarization: -5.026864e-03
j:202 output polarization: -5.026864e-03
j:203 output polarization: -5.026864e-03
j:204 output polarization: -5.026864e-03
j:205 output polarization: -5.026864e-03
j:206 output polarization: -5.026864e-03
j:207 output polarization: -5.026864e-03
j:208 output polarization: -5.026864e-03
j:209 output polarization: -5.026864e-03
j:210 output polarization: -5.026864e-03
j:211 output polarization: -5.026864e-03
j:212 output polarization: -5.026864e-03
j:213 output polarization: -5.026864e-03
j:214 output polarization: -5.026864e-03
j:215 output polarization: -5.026864e-03
j:216 output polarization: -5.026864e-03
j:217 output polarization: -5.026864e-03
j:218 output polarization: -5.026864e-03
j:219 output polarization: -5.026864e-03
j:220 output polarization: -5.026864e-03
j:221 output polarization: -5.026864e-03
j:222 output polarization: -5.026864e-03
j:223 output polarization: -5.026864e-03
j:224 output polarization: -5.026864e-03
j:225 output polarization: -5.026864e-03
j:226 output polarization: -5.026864e-03
j:227 output polarization: -5.026864e-03
j:228 output polarization: -5.026864e-03
j:229 output polarization: -5.026864e-03
j:230 output polarization: -5.026864e-03
j:231 output polarization: -5.026864e-03
j:232 output polarization: -5.026864e-03
j:233 output polarization: -5.026864e-03
j:234 output polarization: -5.026864e-03
j:235 output polarization: -5.026864e-03
j:236 output polarization: -5.026864e-03
j:237 output polarization: -5.026864e-03
j:238 output polarization: -5.026864e-03
j:239 output polarization: -5.026864e-03
j:240 output polarization: -5.026864e-03
j:241 output polarization: -5.026864e-03
j:242 output polarization: -5.026864e-03
j:243 output polarization: -5.026864e-03
j:244 output polarization: -5.026864e-03
j:245 output polarization: -5.026864e-03
j:246 output polarization: -5.026864e-03
j:247 output polarization: -5.026864e-03
j:248 output polarization: -5.026864e-03
j:249 output polarization: -5.026864e-03
j:250 output polarization: -5.026864e-03
j:251 output polarization: -5.026864e-03
j:252 output polarization: -5.026864e-03
j:253 output polarization: -5.026864e-03
j:254 output polarization: -5.026864e-03
j:255 output polarization: -5.026864e-03
j:256 output polarization: -5.026864e-03
j:257 output polarization: -5.026864e-03
j:258 output polarization: -5.026864e-03
j:259 output polarization: -5.026864e-03
j:260 output polarization: -5.026864e-03
j:261 output polarization: -5.026864e-03
j:262 output polarization: -5.026864e-03
j:263 output polarization: -5.026864e-03
j:264 output polarization: -5.026864e-03
j:265 output polarization: -5.026864e-03
j:266 output polarization: -5.026864e-03
j:267 output polarization: -5.026864e-03
j:268 output polarization: -5.026864e-03
j:269 output polarization: -5.026864e-03
j:270 output polarization: -5.026864e-03
j:271 output polarization: -5.026864e-03
j:272 output polarization: -5.026864e-03
j:273 output polarization: -5.026864e-03
j:274 output polarization: -5.026864e-03
j:275 output polarization: -5.026864e-03
j:276 output polarization: -5.026864e-03
j:277 output polarization: -5.026864e-03
j:278 output polarization: -5.026864e-03
j:279 output polarization: -5.026864e-03
j:280 output polarization: -5.026864e-03
j:281 output polarization: -5.026864e-03
